lon,lat,series_id,study_id,spatial_unit,variable,taxonname,species_code,site_number,unit,ott_id,name_cleaned,ncbi_id,genus,family,order,class,phylum,kingdom,taxon_rank
1.92,41.27,seriesM00200_site001_speciesTHYVUL_varialbe_flower_unit_flowers/m2,M00200,stand,flower,Thymus vulgaris,THYVUL,001,flowers/m2,907458,Thymus vulgaris,49992,Thymus,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,species
-82.65,35.47,seriesM01026_site001_speciesQUESPP_varialbe_fruit_unit_fruits/individual,M01026,patch,fruit,Quercus spp.,QUESPP,001,fruits/individual,791121,Quercus spp.,3511,Quercus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,genus
-1.41,50.93,seriesM00222_site001_speciesQUEROB_varialbe_seed_unit_seeds/m2,M00222,stand,seed,Quercus robur,QUEROB,001,seeds/m2,239659,Quercus robur,38942,Quercus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
10.05,51.53,seriesM00223_site001_speciesALLURS_varialbe_flower_unit_inflorescences/m2,M00223,patch,flower,Allium ursinum,ALLURS,001,inflorescences/m2,748364,Allium ursinum,4684,Allium,Amaryllidaceae,Asparagales,Magnoliopsida,Streptophyta,Viridiplantae,species
31.10331,-24.5638,seriesM10119_site001_speciesSCLBIR_varialbe_fruit_unit_fruits/individual,M10119,patch,fruit,Sclerocarya birrea,SCLBIR,001,fruits/individual,456294,Sclerocarya birrea,289766,Sclerocarya,Anacardiaceae,Sapindales,Magnoliopsida,Streptophyta,Viridiplantae,species
-2.88,38,seriesM00100_site001_speciesPHILAT_varialbe_fruit_unit_fruits/m2,M00100,stand,fruit,Phillyrea latifolia,PHILAT,001,fruits/m2,558232,Phillyrea latifolia,126558,Phillyrea,Oleaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,species
29.61,67.748,seriesM00005_site001_speciesEMPNIG_varialbe_fruit_unit_g/m2,M00005,stand,fruit,Empetrum nigrum,EMPNIG,001,g/m2,760250,Empetrum nigrum,191066,Empetrum,Ericaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,species
29.61,67.748,seriesM00005_site002_speciesEMPNIG_varialbe_fruit_unit_g/m2,M00005,stand,fruit,Empetrum nigrum,EMPNIG,002,g/m2,760250,Empetrum nigrum,191066,Empetrum,Ericaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,species
29.61,67.748,seriesM00005_site003_speciesEMPNIG_varialbe_fruit_unit_g/m2,M00005,stand,fruit,Empetrum nigrum,EMPNIG,003,g/m2,760250,Empetrum nigrum,191066,Empetrum,Ericaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,species
29.61,67.748,seriesM00005_site004_speciesEMPNIG_varialbe_fruit_unit_g/m2,M00005,stand,fruit,Empetrum nigrum,EMPNIG,004,g/m2,760250,Empetrum nigrum,191066,Empetrum,Ericaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,species
135.51,34.41,seriesM10112_site001_speciesQUEACA_varialbe_seed_unit_seeds/m2,M10112,stand,seed,Quercus acuta,QUEACA,001,seeds/m2,806243,Quercus acuta,157796,Quercus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
135.51,34.41,seriesM10112_site001_speciesQUESAL_varialbe_seed_unit_seeds/m2,M10112,stand,seed,Quercus salicina,QUESAL,001,seeds/m2,429778,Quercus salicina,103488,Quercus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
135.51,34.41,seriesM10112_site001_speciesQUESES_varialbe_seed_unit_seeds/m2,M10112,stand,seed,Quercus sessilifolia,QUESES,001,seeds/m2,429756,Quercus sessilifolia,103487,Quercus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
-82.37,39.35,seriesM01012_site001_speciesQUEMIC_varialbe_fruit_unit_fruits/m2,M01012,stand,fruit,Quercus michauxii,QUEMIC,001,fruits/m2,117129,Quercus michauxii,262624,Quercus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
-82.37,39.35,seriesM01012_site001_speciesQUEVEL_varialbe_fruit_unit_fruits/m2,M01012,stand,fruit,Quercus velutina,QUEVEL,001,fruits/m2,581813,Quercus velutina,500452,Quercus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
-82.38,39.2,seriesM01012_site002_speciesQUEMIC_varialbe_fruit_unit_fruits/m2,M01012,stand,fruit,Quercus michauxii,QUEMIC,002,fruits/m2,117129,Quercus michauxii,262624,Quercus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
-82.38,39.2,seriesM01012_site002_speciesQUEVEL_varialbe_fruit_unit_fruits/m2,M01012,stand,fruit,Quercus velutina,QUEVEL,002,fruits/m2,581813,Quercus velutina,500452,Quercus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
140,37,seriesM10118_site001_speciesACEPAL_varialbe_seed_unit_seeds/m2,M10118,stand,seed,Acer palmatum,ACEPAL,001,seeds/m2,506130,Acer palmatum,66201,Acer,Sapindaceae,Sapindales,Magnoliopsida,Streptophyta,Viridiplantae,species
140,37,seriesM10118_site001_speciesACEPIC_varialbe_seed_unit_seeds/m2,M10118,stand,seed,Acer pictum,ACEPIC,001,seeds/m2,406133,Acer pictum,290845,Acer,Sapindaceae,Sapindales,Magnoliopsida,Streptophyta,Viridiplantae,species
140,37,seriesM10118_site001_speciesCARCOR_varialbe_seed_unit_seeds/m2,M10118,stand,seed,Carpinus cordata,CARCOR,001,seeds/m2,799877,Carpinus cordata,88034,Carpinus,Betulaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
140,37,seriesM10118_site001_speciesCARJAP_varialbe_seed_unit_seeds/m2,M10118,stand,seed,Carpinus japonica,CARJAP,001,seeds/m2,864523,Carpinus japonica,176858,Carpinus,Betulaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
140,37,seriesM10118_site001_speciesCARTSC_varialbe_seed_unit_seeds/m2,M10118,stand,seed,Carpinus tschonoskii,CARTSC,001,seeds/m2,951426,Carpinus tschonoskii,139404,Carpinus,Betulaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
140,37,seriesM10118_site001_speciesCASCRE_varialbe_seed_unit_seeds/m2,M10118,stand,seed,Castanea crenata,CASCRE,001,seeds/m2,429760,Castanea crenata,103480,Castanea,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
140,37,seriesM10118_site001_speciesFAGCRE_varialbe_seed_unit_seeds/m2,M10118,stand,seed,Fagus crenata,FAGCRE,001,seeds/m2,288140,Fagus crenata,28929,Fagus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
140,37,seriesM10118_site001_speciesFAGJAP_varialbe_seed_unit_seeds/m2,M10118,stand,seed,Fagus japonica,FAGJAP,001,seeds/m2,485001,Fagus japonica,63422,Fagus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
140,37,seriesM10118_site001_speciesQUESER_varialbe_seed_unit_seeds/m2,M10118,stand,seed,Quercus serrata,QUESER,001,seeds/m2,429766,Quercus serrata,103482,Quercus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
140,37,seriesM10118_site001_speciesSTYOBA_varialbe_seed_unit_seeds/m2,M10118,stand,seed,Styrax obassia,STYOBA,001,seeds/m2,521318,Styrax obassis,153542,Styrax,Styracaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,species
79.45,29.38,seriesM10116_site001_speciesQUEFLO_varialbe_seed_unit_seeds/m2,M10116,stand,seed,Quercus floribunda,QUEFLO,001,seeds/m2,63431,Quercus floribunda,568700,Quercus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
