taxonname,name_cleaned,search_string,unique_name,approximate_match,score,ott_id,is_synonym,flags,number_matches
Myiarchus crinitus,Myiarchus crinitus,myiarchus crinitus,Myiarchus crinitus,FALSE,1,835027,FALSE,NA,1
Contopus virens,Contopus virens,contopus virens,Contopus virens,FALSE,1,1095258,FALSE,NA,1
Cyanocitta cristata,Cyanocitta cristata,cyanocitta cristata,Cyanocitta cristata,FALSE,1,30736,FALSE,NA,1
Corvus brachyrhynchos.,Corvus brachyrhynchos,corvus brachyrhynchos,Corvus brachyrhynchos,FALSE,1,331952,FALSE,sibling_higher,1
Parus bicolor,Baeolophus bicolor,parus bicolor,Baeolophus bicolor,FALSE,1,922720,TRUE,NA,1
Troglodytes aedon,Troglodytes aedon,troglodytes aedon,Troglodytes aedon,FALSE,1,293378,FALSE,NA,1
Dumetella carolinensis,Dumetella carolinensis,dumetella carolinensis,Dumetella carolinensis,FALSE,1,658838,FALSE,NA,1
Toxostoma rufum,Toxostoma rufum,toxostoma rufum,Toxostoma rufum,FALSE,1,293380,FALSE,NA,1
Icteria virens,Icteria virens,icteria virens,Icteria virens,FALSE,1,998133,FALSE,NA,1
Passer domesticus,Passer domesticus,passer domesticus,Passer domesticus,FALSE,1,745175,FALSE,NA,1
Cardinalis cardinalis,Cardinalis cardinalis,cardinalis cardinalis,Cardinalis cardinalis,FALSE,1,307364,FALSE,NA,1
Passerina cyanea,Passerina cyanea,passerina cyanea,Passerina cyanea,FALSE,1,939942,FALSE,NA,1
Spizella pusilla,Spizella pusilla,spizella pusilla,Spizella pusilla,FALSE,1,989508,FALSE,NA,1
Buteo jamaicensis,Buteo jamaicensis,buteo jamaicensis,Buteo jamaicensis,FALSE,1,509839,FALSE,sibling_higher,1
Phasianus colchicus,Phasianus colchicus,phasianus colchicus,Phasianus colchicus,FALSE,1,102719,FALSE,NA,1
Sitta carolinensis,Sitta carolinensis,sitta carolinensis,Sitta carolinensis,FALSE,1,82247,FALSE,NA,1
Certhia americana,Certhia americana,certhia americana,Certhia americana,FALSE,1,697024,FALSE,NA,1
Junco hyemalis,Junco hyemalis,junco hyemalis,Junco hyemalis,FALSE,1,989502,FALSE,NA,1
Spizella arborea,Spizelloides arborea,spizella arborea,Spizelloides arborea,FALSE,1,463026,TRUE,NA,1
Parus atricapillus,Poecile atricapillus,parus atricapillus,Poecile atricapillus,FALSE,1,17262,TRUE,NA,1
Vireo griseus,Vireo griseus,vireo griseus,Vireo griseus,FALSE,1,621714,FALSE,NA,1
Carduelis tristis,Spinus tristis,carduelis tristis,Spinus tristis,FALSE,1,559260,TRUE,NA,1
Pipilo erythrophthalmus,Pipilo erythrophthalmus,pipilo erythrophthalmus,Pipilo erythrophthalmus,FALSE,1,453762,FALSE,NA,1
Melospiza melodia,Melospiza melodia,melospiza melodia,Melospiza melodia,FALSE,1,265548,FALSE,NA,1
Accipiter nisus,Accipiter nisus,accipiter nisus,Accipiter nisus,FALSE,1,238460,FALSE,NA,1
Scolopax rusticola,Scolopax rusticola,scolopax rusticola,Scolopax rusticola,FALSE,1,1010551,FALSE,NA,1
Columba palumbus,Columba palumbus,columba palumbus,Columba palumbus,FALSE,1,938408,FALSE,NA,1
Streptopelia turtur,Streptopelia turtur,streptopelia turtur,Streptopelia turtur,FALSE,1,801237,FALSE,NA,1
Cuculus canorus,Cuculus canorus,cuculus canorus,Cuculus canorus,FALSE,1,792628,FALSE,NA,1
Strix aluco,Strix aluco,strix aluco,Strix aluco,FALSE,1,116522,FALSE,NA,1
Picus viridis,Picus viridis,picus viridis,Picus viridis,FALSE,1,1010553,FALSE,NA,1
