ID,error,error_reason,whole_estimate.r,whole_estimate.K,whole_estimate.sigma,whole_se.r,whole_se.K,whole_se.sigma,whole_converged,part,estimate.r,estimate.K,estimate.sigma,se.r,se.K,se.sigma,converged
493,FALSE,NA,0,1,1,NA,NA,NA,FALSE,1,0,1,1,NA,NA,NA,FALSE
493,FALSE,NA,0,1,1,NA,NA,NA,FALSE,2,0,1,1,NA,NA,NA,FALSE
500,FALSE,NA,1.1811939629240826,139.37831859459803,0.20575596349872097,0.34022712446083453,9.522020818510615,0.05143749154990882,TRUE,1,0.9758431024790626,138.85133712307675,0.10910106377755313,0.27771456602863787,11.547275989137294,0.03856664304667437,TRUE
500,FALSE,NA,1.1811939629240826,139.37831859459803,0.20575596349872097,0.34022712446083453,9.522020818510615,0.05143749154990882,TRUE,2,1.5706304846999866,142.877399416246,0.25287397932061095,0.6744257892939624,11.658237565717927,0.08941404557642342,TRUE
1161,FALSE,NA,0,1,1,NA,NA,NA,FALSE,1,0,1,1,NA,NA,NA,FALSE
1161,FALSE,NA,0,1,1,NA,NA,NA,FALSE,2,0,1,1,NA,NA,NA,FALSE
1178,FALSE,NA,0,1,1,NA,NA,NA,FALSE,1,0,1,1,NA,NA,NA,FALSE
1178,FALSE,NA,0,1,1,NA,NA,NA,FALSE,2,0,1,1,NA,NA,NA,FALSE
1334,FALSE,NA,0.6896444321677431,246.5273293613653,0.8553525201357135,0.1989929010043487,40.86178579408503,0.08082571006081417,TRUE,1,0.7081433228220304,329.0892432639018,0.6010205294975131,0.23968651585216785,53.1214404597464,0.08030891523741697,TRUE
1334,FALSE,NA,0.6896444321677431,246.5273293613653,0.8553525201357135,0.1989929010043487,40.86178579408503,0.08082571006081417,TRUE,2,0.8267891262733726,173.92491807802503,0.9511482145320413,0.27881441846361127,37.86580324543603,0.12709842444552666,TRUE
1389,FALSE,NA,1.5093050966164916,7.566168216271837,0.178404458168378,0.18538994832854694,0.29014848760842177,0.0398899234251506,TRUE,1,1.534869240325134,7.503060619342734,0.19827955520472468,0.2689009919092151,0.5190074314336874,0.06270072320101674,TRUE
1389,FALSE,NA,1.5093050966164916,7.566168216271837,0.178404458168378,0.18538994832854694,0.29014848760842177,0.0398899234251506,TRUE,2,1.4878227801688495,7.586454631512546,0.1553258694817637,0.2934191223804907,0.3620849961587517,0.04911549081506703,TRUE
1523,FALSE,NA,0.3783027136672534,9727.618560612113,1.2216641351838404,0.3529006538412716,8029.9431403758845,0.19821006205703562,TRUE,1,0.28404366885529714,6338.499171032765,1.1126185905387176,0.5619743351936369,8634.784235035586,0.26224775547198415,TRUE
1523,FALSE,NA,0.3783027136672534,9727.618560612113,1.2216641351838404,0.3529006538412716,8029.9431403758845,0.19821006205703562,TRUE,2,0.3254969465858636,23227.837793962895,1.3252129398862031,0.496779064404166,88573.46249606014,0.31232961434528567,TRUE
1681,FALSE,NA,-0.07693321548728577,540629.0060784799,0.2846045213002864,0.11727506663469608,3079000.5223159776,0.034515930264406615,TRUE,1,-0.6526994155225604,165702.95914757173,0.21663649282468767,0.20236626115300965,16774.127952792925,0.03715224727441727,TRUE
1681,FALSE,NA,-0.07693321548728577,540629.0060784799,0.2846045213002864,0.11727506663469608,3079000.5223159776,0.034515930264406615,TRUE,2,-0.012656650953125318,48844501508.21415,0.2984810798994002,0.0723924860838027,193793176544904.8,0.0511901731808002,TRUE
1692,FALSE,NA,0.08011579422241077,49250.761708609774,0.25988919888398987,0.1268916460054802,31722.580916462994,0.03300323438647105,TRUE,1,0.21954665932644857,88038.0415450012,0.2562417249016755,0.1867612528369117,47675.6846411521,0.04678471371728078,TRUE
1692,FALSE,NA,0.08011579422241077,49250.761708609774,0.25988919888398987,0.1268916460054802,31722.580916462994,0.03300323438647105,TRUE,2,-0.13361953591339829,257984.83885117766,0.2334816511703357,0.16239953228333684,922333.6064989162,0.0426258399090997,TRUE
1825,FALSE,NA,0.7315726466589247,6568.5533500132215,3.9110781696167183,0.8068357323366874,6201.960379919417,0.48891341424657486,TRUE,1,-0.27333597764815154,28916699839.479992,1.4204866332783526,0.3551217962137286,79530199746091.95,0.25110404881679416,TRUE
1825,FALSE,NA,0.7315726466589247,6568.5533500132215,3.9110781696167183,0.8068357323366874,6201.960379919417,0.48891341424657486,TRUE,2,2.889527210503448,4177.9797883795445,3.910378736028103,1.167627409411518,1416.5706661744537,0.6912598142142686,TRUE
1851,FALSE,NA,1.3918904417621558,29516.12776807823,1.6160393220319154,0.5884731868348921,9927.838724516785,0.32982961802513194,TRUE,1,2.040950153599249,16370.000980896213,1.0499742547318696,0.6227974618560548,3505.6948500515664,0.30306845076591804,TRUE
1851,FALSE,NA,1.3918904417621558,29516.12776807823,1.6160393220319154,0.5884731868348921,9927.838724516785,0.32982961802513194,TRUE,2,1.7581490380173026,38358.21075141119,1.6562900663404294,0.9124072767022238,14755.874369436058,0.47811544445045157,TRUE
1898,FALSE,NA,-0.025918851160267445,51435959625.39148,0.20808162539134456,0.05771151605623227,122333347649908.08,0.04081006876291569,TRUE,1,0.43652288704442976,34037.93583737518,0.17606314024680939,0.25168484259228263,6052.314127975958,0.050824083607476804,TRUE
1898,FALSE,NA,-0.025918851160267445,51435959625.39148,0.20808162539134456,0.05771151605623227,122333347649908.08,0.04081006876291569,TRUE,2,0.7448550923047571,37906.10841877877,0.1447565150902721,0.38488869341521864,3046.2365030080296,0.041787591424285016,TRUE
1923,FALSE,NA,0,1,1,NA,NA,NA,FALSE,1,0,1,1,NA,NA,NA,FALSE
1923,FALSE,NA,0,1,1,NA,NA,NA,FALSE,2,0,1,1,NA,NA,NA,FALSE
1931,FALSE,NA,-0.07372369854184493,1083933033.7342107,0.16711790378323688,0.038339508882246146,2065195450344.9063,0.02711099956798876,TRUE,1,-0.06226235888305446,2353958215.68623,0.07430271286693657,0.02476759663237108,6782325796354.971,0.017513737591384138,TRUE
1931,FALSE,NA,-0.07372369854184493,1083933033.7342107,0.16711790378323688,0.038339508882246146,2065195450344.9063,0.02711099956798876,TRUE,2,0.24591935738344473,151.8077501043565,0.18700317698410399,0.16370280145746846,44.937835151774394,0.04407996477681896,TRUE
1958,FALSE,NA,0.5398770238949171,93414.60522332713,0.2794095646058779,0.1729981753963018,19198.36992308653,0.062476048132337224,TRUE,1,0.664635235376759,64562.158068444034,0.20263722454312638,0.1869160813599583,13010.289500221428,0.06409084877182918,TRUE
1958,FALSE,NA,0.5398770238949171,93414.60522332713,0.2794095646058779,0.1729981753963018,19198.36992308653,0.062476048132337224,TRUE,2,0.6318467821927891,102338.61952478488,0.3134402583294594,0.3758481483023001,24369.51377127923,0.09912385225773461,TRUE
2002,FALSE,NA,2.5389973333754083,9.15756688484076,0.5614069263079278,0.280564326801226,0.6404940717745043,0.12551024921852658,TRUE,1,2.5468604667636727,8.005454258127843,0.2991246044266427,0.2486418416582558,0.4256567339953152,0.09458288323505003,TRUE
