mainid,datasourceid,locationid,taxonname,lon,lat,reference,ott_id,name_cleaned,ncbi_id,genus,family,order,class,phylum,kingdom,taxon_rank
177,12,54,Castor canadensis,-98,38,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
178,12,55,Castor canadensis,-110,47,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
179,12,56,Castor canadensis,-110,42,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
180,12,57,Castor canadensis,-113,39,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
181,12,58,Castor canadensis,-72,44,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
182,12,59,Castor canadensis,-74,41,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
183,12,60,Castor canadensis,-114,34,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
184,12,61,Castor canadensis,-73,41,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
185,12,62,Castor canadensis,-79,36,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
186,12,63,Castor canadensis,-100,47,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
