species,name_cleaned,search_string,unique_name,approximate_match,score,ott_id,is_synonym,flags,number_matches
Trattinnickia aspera,Trattinnickia aspera,trattinnickia aspera,Trattinnickia aspera,FALSE,1,425683,FALSE,,1
Trema micranthum,Trema micranthum,trema micranthum,Trema micranthum,FALSE,1,467012,FALSE,,1
Triplaris cumingiana,Triplaris cumingiana,triplaris cumingiana,Triplaris cumingiana,FALSE,1,1001715,FALSE,,1
Trichospermum galeottii,Trichospermum galeottii,trichospermum galeottii,Trichospermum galeottii,FALSE,1,6116692,FALSE,,1
Trichilia pallida,Trichilia pallida,trichilia pallida,Trichilia pallida,FALSE,1,957670,FALSE,,1
Trichilia pleeana,Trichilia pleeana,trichilia pleeana,Trichilia pleeana,FALSE,1,6125046,FALSE,,1
Trichilia tuberculata,Trichilia tuberculata,trichilia tuberculata,Trichilia tuberculata,FALSE,1,360171,FALSE,,1
Trophis caucana,Trophis caucana,trophis caucana,Trophis caucana,FALSE,1,425685,FALSE,,1
Turpinia occidentalis,Turpinia occidentalis,turpinia occidentalis,Turpinia occidentalis,FALSE,1,337866,FALSE,,1
Tynanthus croatianus,Tynanthus croatianus,tynanthus croatianus,Tynanthus croatianus,FALSE,1,5793191,FALSE,,1
Unonopsis pittieri,Unonopsis pittieri,unonopsis pittieri,Unonopsis pittieri,FALSE,1,546800,FALSE,,1
Vernonanthura patens,Vernonanthura patens,vernonanthura patens,Vernonanthura patens,FALSE,1,179872,FALSE,,1
Virola multiflora,Virola multiflora,virola multiflora,Virola multiflora,FALSE,1,106901,FALSE,,1
Virola sebifera,Virola sebifera,virola sebifera,Virola sebifera,FALSE,1,206492,FALSE,,1
Vitis tiliifolia,Vitis tiliifolia,vitis tiliifolia,Vitis tiliifolia,FALSE,1,568892,FALSE,,1
Vochysia ferruginea,Vochysia ferruginea,vochysia ferruginea,Vochysia ferruginea,FALSE,1,45629,FALSE,,1
Xylopia macrantha,Xylopia macrantha,xylopia macrantha,Xylopia macrantha,FALSE,1,425668,FALSE,,1
Xylosma oligandra,Xylosma oligandra,xylosma oligandra,Xylosma oligandra,FALSE,1,425670,FALSE,,1
Zanthoxylum acuminatum,Zanthoxylum acuminatum,zanthoxylum acuminatum,Zanthoxylum acuminatum,FALSE,1,488009,FALSE,,2
Zanthoxylum panamense,Zanthoxylum panamense,zanthoxylum panamense,Zanthoxylum panamense,FALSE,1,951333,FALSE,,1
Acer pseudoplatanus,Acer pseudoplatanus,acer pseudoplatanus,Acer pseudoplatanus,FALSE,1,948911,FALSE,,1
Banksia spinulosa,Banksia spinulosa,banksia spinulosa,Banksia spinulosa,FALSE,1,830654,FALSE,,1
Posidonia australis,Posidonia australis,posidonia australis,Posidonia australis,FALSE,1,91976,FALSE,,1
Beilschmiedia tawa,Beilschmiedia tawa,beilschmiedia tawa,Beilschmiedia tawa,FALSE,1,634476,FALSE,,1
Photinia glabra,Photinia glabra,photinia glabra,Photinia glabra,FALSE,1,928006,FALSE,,1
